ID,Artigo,Ano,Score Total,Fonte,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Quem extraiu,Autores,País,Afiliação,Veículo de Publicação,Tipo ,"Quais são as contribuições da Engenharia de Software (ES) em estudos de IA ou ML (técnicas, processos, ferramentas, métricas)?",Atividade de Engenharia de Software,Quais são as técnicas de IA gen exploradas em estudos de ES?,"Quais são os Modelos de Aprendizado de Máquina (MLMs), Modelos de Aprendizado de Máquina (SLMs), prompts e arquiteturas explorados em IA gen para estudos de ES?",Tipo do Modelo,Modelo de IA Generativa,Técnica utilizada,Tamanho do modelo (em parametros),	Acesso,Quais são as ferramentas que dão suporte à IA gen para estudos de ES?,Quais técnicas de avaliaçãoção são exploradas em IA gen para estudos de ES?,Métricas utilizadas,Benefícios em usar genAI para ES,Limitações de usar genAI para ES,Lacunas (oportunidades de pesquisa) para usar genAI para ES,Trabalhos Futuros indicados no artigo, Desafios de usar genAI para ES,Outros comentários,Trechos interessantes do artigo
A1,A Catalog of Data Smells for Coding Tasks,2025,5.0,Scopus,Partially attended to,Fully attended to,Not attended to,Fully attended to,Fully attended to,Partially attended to,Fully attended to,Heitor e Henrique da Rocha Lima,"Antonio Vitale, Rocco Oliveto, e Simone Scalabrino",Itália,"Automatica e Informatica, Politecnico di Torino, Torino, Italy and Department ofBiosciences and Territory, University of Molise, Pesche, Italy",ACM Transactions on Software Engineering and Methodology (TOSEM),journal,"O estudo identifica como oportunidade futura a aplicação de princípios da Engenharia de Software para a engenharia sistemática de dados, visando mitigar data smells em datasets de pré-treinamento, fine-tuning e benchmarks. Essa abordagem busca reduzir vieses de avaliação e melhorar a confiabilidade e generalização de modelos de IA generativa aplicados à Engenharia de Software.",Construção/Codificação,"Fine-Tuning,","- O estudo focou na arquitetura Tranformer das redes neurais profundas, com trechos explicando com sua estrutura funciona, apresentando então sobre o pré-processamento e o fine-tuning do modelo e qual a relação com os data smells (dados com ""odores"" ruins). O estudo não faz comparação entre modelos específicos (ex.: GPT-3 vs Codex vs CodeBERT). O foco está no uso geral de LLMs, não em arquiteturas individuais.

- O estudo não reporta o uso de Small Language Models (SLMs)

- Prompts não são analisados nem caracterizados.",LLM,"GPT-x, Llama, outros",,,,Não se aplica,"Avaliação baseada em benchmarks de tarefas de codificação e métricas de desempenho reportadas nos estudos primários.

O estudo não explora técnicas alternativas ou avançadas de avaliação.",outros,"O estudo reconhece que modelos de IA generativa são amplamente utilizados para automatizar e apoiar tarefas de codificação como geração de código, correção de bugs, refatoração, tradução de código, sumarização e revisão de código.","O estudo apresenta limitações nas atividades atreladas a codificação, como refatoração de código, correção de código,revisão de código, tradução de código, sumarização de código, completação de código, entre outros. Ao longo do estudo, é determinado que os LLMs, em especificos os de arquitetura Transformer, ao trabalhar com codificação, tende a gerar saídas com qualidade inferior devido os ""data smells"", que são dados com uma qualidade ruim. De acordo com o estudo, quando um Transformer, seja na etapa de pré-processamento ou na etapa de fine-tuning, tem esse tipo de dado para realizar seu treinamento, ele tende a gerar códigos sub-ótimos ou não funcionais.","1 - Falta de evidência empírica sobre o impacto real dos data smells
2 - Ausência de análise sistemática de data smells em datasets amplamente usados
3 - O catálogo foi construído focando Transformers, e alguns data smells podem não ser diretamente transferíveis para outras arquiteturas.
4 - Falta de benchmarks livres de data smells para avaliação justa
5 - Algumas tarefas importantes de ES ignoram completamente certos tipos de data smells, mesmo sendo tarefas amplamente estudadas.","1 - ""Updating existing pre-trained LLMs for coding tasks on cleaned versions of existingdatasets (e.g., CodeSearchNet) might have benefits for most future works.""
2 - "" It is essential to investigate the diffusion of data smells in widely used datasets.""
3 - ""Even when empirical evidence is provided that specific data smells negatively affect themodel, much more work is needed to enrich our knowledge on what effects they might haveand what benefits it could bring removing them. Future work should aim to empiricallyanalyze how most of the data smells of code-related tasks affect training.""
4 - ""Future work should aim at devising more precise strategies for detecting data smellsand more advanced procedures for improving the quality of datasets. Such work shouldrigorously validate both the detection and fixing procedures.""
5 - ""Future work should investigate the impact of data smells on non-functional aspects, suchas training time, sustainability, robustness, security, and performance.""","1 - Antes deste estudo, não existia um catálogo específico de data smells para tarefas de programação, dificultando ações sistemáticas de mitigação. 
2 - Limpar, filtrar e manter datasets livres de data smells exige tempo, esforço humano e recursos computacionais. 
3 - Embora filtros de qualidade sejam amplamente usados, não se sabe claramente o quanto eles realmente melhoram os modelos.","- Para a etapa de pré-treinamento, os tipos de data smells mais abordados foram Limited Informativeness e as Instâncias (Quase) Duplicadas. ""More specifically, as for the pre-training stage, we observed that Limited Informativeness and the (Near) Duplicated Instances categories are the most addressed data smells. - pag 20""

-  ""A categoria mais abordada é a de Instâncias (Quase) Duplicadas (41%), seguida por Informatividade Limitada (37%) e Problemas de Qualidade do Código-Fonte (31%). Por outro lado, Repositórios de Código Inadequados (Inadequate Source Repositories) (16%) e Vazamento de Dados (Data Leakage) (10%) são as menos abordadas. Isso levanta preocupações quanto à avaliação real da eficácia dos modelos, que pode superestimar seu desempenho em um cenário do mundo real."" -> ""The most addressed is the (Near) Duplicated Instances category (41%), followed by Limited Informativeness (37%), and Source Code Quality Issues (31%). On the other hand, Inadequate Source Repositories (16%)","""The most addressed is the (Near) Duplicated Instances category (41%), followed by Limited Informativeness (37%), and Source Code Quality Issues (31%). On the other hand, Inadequate Source Repositories (16%) and Data Leakage (10%) are the less addressed ones. This raises concerns regarding the actual evaluation of the models effectiveness, which may overestimate their performance in a real-world setting - pag 20""

"" The last row, instead, reports the number of papers by task. It is worth noting that, for some tasks, the large majority of papers use some categories of quality filters. For example, almost all the papers (8 out of 12) tackling the Code Completion task use quality filters to address Limited Informativeness smells. On the other hand, some smells are not taken into account at all for some tasks. An example is given by the Data Leakage category, which has never been addressed for the Bug-Fixing task. Similarly, Data Distribution Issues has never been taken into account for t"
A2,A Pilot Study on AI-Assisted Code Generation with Large Language Models for Software Engineering,2024,0.0,Scopus,Not attended to,Not attended to,Not attended to,Not attended to,Not attended to,Not attended to,Not attended to,Brenno - EC1 - Full text not avaliable for free on the Web or on the CAPES Periódicos platform,,,,,,,,,,,,,,,,,,,,,,,,
A3,A Review of Reasoning in Artificial Agents using Large Language Models,2025,0.0,Scopus,Not attended to,Not attended to,Not attended to,Not attended to,Not attended to,Not attended to,Not attended to,"Filipe Campos Matunaga Batista - Excluído (EC4: Does not address genAI for SE activities).
Ana Karolina - Excluído (EC4: Does not address genAI for SE activities)",Nagraj Naidu e Omar El-Gayar,Estados Unidos,Dakota State University,Proceedings of the 58th Hawaii International Conference on System Sciences | 2025,journal,,,,,,,,,,,,,,,,,,,
A4,A Survey of Natural Language-Based Editing of Low-Code Applications Using Large Language Models,2024,0.0,Scopus,Not attended to,Not attended to,Not attended to,Not attended to,Not attended to,Not attended to,Not attended to,"Ana Karolina (EXCLUÍDO: EC1: Full text not available for free on the Web or on the CAPES Periódicos plataform)
Filipe Campos (EXCLUÍDO: EC1: Full text not available for free on the Web or on the CAPES Periódicos plataform)","Gorissen, Simon Cornelius; Sauer, Stefan; Beckmann, Wolf G.",Alemanha,"SICP Software Innovation Lab and Computer Science Department, Paderborn University, Warburger Str. 100, Paderborn, 33098, Germany",Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),conference,,,,,,,,,,,,,,,,,,,
A5,A Systematic Literature Review of 10 years of Research on Program Synthesis and Natural Language Processing,2024,6.5,Scopus,Partially attended to,Fully attended to,Fully attended to,Fully attended to,Fully attended to,Fully attended to,Fully attended to,Brenno,"Ramirez-Rueda, Rolando and Benítez-Guerrero, Edgard and Mezura-Godoy, Carmen and Bárcenas, Everardo",México,Facultad de Ingeniería Universidad Nacional Autónoma de México,Programming and Computer Software,conference,"Como destacado no artigo, a Engenharia de Software (ES) contribui fornecendo a estrutura do ciclo de vida de desenvolvimento, incluindo especificação de requisitos, design, prototipagem e testes. Além disso utiliza modelos de abstração para facilitar a geração automática de códigos e utiliza técnicas para avaliação da qualidade dos resultados da IA, como pode ser observado no trecho ""The development of a software system encompasses a detailed life cycle that includes stages such as requirement specification, design, prototyping, and testing."" - Pág. 1","Construção/Codificação, Gestão de projeto, Requisitos, Testes","Como ponto focal do artigo, as técnicas exploradas são de síntese indutiva e dedutiva, processamento de linguagem natural (NLP) e programação genética guiada por gramática (evolução do código até chegar ao resultado desejado) - ""Program synthesis employs distinct methods, primarily classified into deductive and inductive synthesis...""","O estudo foca bastante em Modelos de Linguagem de Larga Escala (LLMs), explorando principalmente o uso de prompts de programação para guiar a IA na geração de código, destaque para o trecho ""..exploration of models like GPT-4 and other advanced transformer architectures to understand how they can be adapted for interpreting natural language program specifications."" mostrando o uso de ferramentas como o CPT-4 nesse estudo.","LLM, multimodal","GPT-x, outros",prompt engineering,,comercial,"Como suporte para a IA foi tido ferramentas interativas de síntese de programas (Jigsaw e HISyn), algumas plataformas de criação de bots e ambientes de desenvolvimento integrado (IDES) que possuem ferramentas de snippets de código.","Foi aplicado casos testes (como a execução do código gerado), análise estatística de padrões de uso de código e mediação de similaridade","custo, precisão, produtividade, qualidade, segurança","Como benefícios, foram destacados no artigo o aumento da eficiência do desenvolvedor, a democratização do desenvolvimento de software para pessoas de fora da área através da elaboração de requisitos por linguagem humana e automação de tarefas repetitivas e rotineiras","Muita ambiguidade no que se refere a linguagem natural, dificuldade em interpretar requisitos e a necessidade de alto poder computacional para verificar especificações completas. Destacado no trecho - ""The research problem centers on the complexity of automatically generating accurate and robust code from high-level, ambiguous natural language descriptions...""","A principal lacuna identificada foi a de interpretação da linguagem. natural, o que garantiria um desenvolvimento mais rápido e fácil do software, pois hoje ainda demanda um alto poder computacional e a genIA apresenta dificuldades nessa interpretação","1- Melhoria de interpretabilidade e confiança
2- Modelos de domínio específicos
3- Escalabilidade e Eficiência
4- Técnicas de desambiguação","Apesar da genIA representar o futuro para a ES, o artigo mostrou que muitos desafios ainda permeiam esse cenário, dentre eles o fato de como fazer a máquina entender de maneira mais clara e fácil a linguagem natural, para assim, facilitar as etapas de transformação dos requisitos em trechos de código, o que foi notado que em vários cenários, precisa-se de uma escalabilidade muito grande para chegar ao que se espera de um requisito, destaca-se também o fato de que esses trechos são mais sucetíveis a erros do que quando o profissional interpreta e transforma o requisito","Achei interessante a forma como o artigo aborda a genIA tratando-a como uma maneira de democratizar a criação de software, destacando que através dela muitas pessoas que não são da área podem se aventurar para criar aplicações e códigos, isso pode estimular cada vez mais pessoas a ingressar nesse mundo e trará muitos avanços para a ES. E também a forma como aborda o quesito da ética nessa democratização.","""The synthesis of programs through natural language represents a significant advance in software engineering, aiming to democratize software development by allowing non-expert users to create programs from high-level descriptions.""

""Improving the accessibility and usability of applications through natural language interfaces is a promising field that could revolutionize human-computer interaction."" - destaca que em trabalhos futuros o objetivo é torna mais acessível essa tecnologia"
A6,A Systematic Literature Review of Large Language Model Applications in Industry,2025,6.0,Scopus,Fully attended to,Fully attended to,Partially attended to,Partially attended to,Fully attended to,Fully attended to,Fully attended to,Jeniffer e Leonardo,"Norbert Moenks, Pascal Penava, Ricardo Buettner",Alemanha,"Chair of Hybrid Intelligence, Helmut-Schmidt-University/University of the Federal Armed Forces Hamburg",IEEE Access,journal,"Técnicas: Integração de LLMs em sistemas empresariais, geração de código, teste automatizado, geração de documentação.
Processos: Automação de workflows de desenvolvimento, suporte à tomada de decisão, otimização de processos industriais.
Ferramentas: Frameworks para LLMs em manufatura, assistentes de código (GitHub Copilot), agentes autônomos baseados em LLM.
Métricas: Eficiência operacional, qualidade de código, redução de tempo de desenvolvimento, precisão em diagnósticos.","Construção/Codificação, Design, Manutenção, Operações/DevOps, Requisitos, Testes","Sistemas multiagentes; engenharia de prompts (implícita em interações de agentes); aprendizado autossupervisionado; chain of thought (via raciocínio multiturnos em agentes). A revisão abrange IA generativa para automação industrial, incluindo geração de código e otimização de processos, que se intersectam com ES (ex.: agentes LLMs para suporte a decisões em indústrias intensivas em software, como sistemas de energia).","MLMs/SLMs: Tongyi Qianwen, Wenxin, Baichuan-13B, ChatGLM-6B (LLMs de tamanho médio em Chen et al. [3]); GPT-4-Turbo, GPT-3.5-Turbo, Claude-2.1 (em Arnautov e Akimov [34]). Prompts: Não detalhados explicitamente, mas implícitos em sugestões e verificações de agentes (ex.: prompting para melhorias em redes). Arquiteturas: Causal Decoder (ex.: modelos GPT), Encoder-Decoder (ex.: T5 ou BART mencionados em preliminares), Prefix Decoder (ex.: modelos GLM), Autoregressive. A revisão classifica arquiteturas de LLMs e nota seu uso em tarefas relacionadas a ES, como simulação de código e otimização.",LLM,"Claude, GPT-x, Llama","chain of thought, multiagent, outros, prompt engineering",7000000000.0,"comercial, open source","GitHub Copilot
LangChain
Frameworks de automação (RPA integrado a LLMs)
Sistemas de banco de dados vetoriais (para RAG)
Ferramentas de teste automatizado baseadas em LLM","Testes empíricos em casos de uso reais; 
Análise comparativa entre LLMs (ex.: médio vs. grande modelos);
Experimentos fictícios (ex.: otimização de sistemas de energia); 
Revisão qualitativa de estudos peer-reviewed; 
SLR baseada em PRISMA para síntese.
Métricas de precisão, recall, F1-score
Benchmark com datasets específicos de domínio","custo, precisão, produtividade, qualidade, recall, redução de esforço, segurança","Aumento de produtividade em desenvolvimento de software
Automação de tarefas repetitivas (documentação, testes)
Melhoria na qualidade de código e detecção de bugs
Suporte à tomada de decisão em operações industriais
Personalização de soluções para domínios específicos","Limitado a casos de uso isolados, deixando lacunas em integração (ex.: logística, procurement); Desafios em governança de dados, conformidade regulatória e explicabilidade; Altos custos computacionais para modelos grandes; Viés, preocupações com privacidade e adaptabilidade de domínio; Dependência excessiva de modelos proprietários restringe o controle; Aplicações em estágio inicial em indústrias como óleo/gás.","Áreas subexploradas na cadeia de valor de Porter (ex.: logística inbound/outbound, procurement, funções voltadas ao cliente); Necessidade de frameworks padronizados para PMEs na preparação e implementação de dados; Oportunidades em sistemas multiagentes para atividades mais amplas de ES (ex.: pipelines DevOps completos); Questões éticas, mitigação de viés e impacto ambiental; Customização específica de domínio além do fine-tuning; Integração com infraestrutura crítica sem interrupções operacionais.","Desenvolver agendas de pesquisa baseadas em clusters de tarefas empíricas; Explorar atividades subrepresentadas na cadeia de valor; Padronizar frameworks metodológicos para implantação de LLMs em PMEs; Abordar desafios de implementação como ética, privacidade e custos; Investigar tipos de arquitetura para aplicações específicas de ES; SLRs futuras sobre evoluções de LLMs e visões cross-setoriais.","Proteção de dados confidenciais
Falta de padrões de interoperabilidade
Habilidade organizacional e readiness tecnológico
Viés nos modelos e falta de transparência","Existem desafios persistentes que impedem uma adoção industrial mais ampla, incluindo problemas relacionados ao alinhamento do modelo, riscos éticos e o impacto ambiental decorrente do alto consumo de recursos. Dessa forma, enquanto a arquitetura de Transformers continua sendo a base técnica predominante, a tendência futura aponta para a integração de sistemas mais sofisticados, como agentes autônomos e o uso de técnicas de Prompt Engineering para refinar a precisão e a confiabilidade em ambientes de manufatura inteligente e design colaborativo.","""LLM adoption is heavily concentrated in technology-focused and internal operational activities across industries, where they offer immediate benefits at lower risk.""
""Areas such as logistics, procurement, and customer-facing functions remain largely unexplored.""
""Current deployments are primarily limited to isolated, manageable use cases, leaving substantial innovation potential unrealized.""
""The black-box character of current LLMs presents a fundamental barrier to explainability, which is particularly problematic in safety-critical or compliance-sensitive domains."""
A7,A Systematic Literature Review on Using Natural Language Processing in Software Requirements Engineering,2024,6.0,Scopus,Fully attended to,Partially attended to,Fully attended to,Fully attended to,Fully attended to,Fully attended to,Partially attended to,Jeniffer e Leonardo,"Sabina Cristiana Necula, Florin Dumitriu e Valerică Greavu Serban.",Romênia,Alexandru Ioan Cuza University of Iași (Faculty of Economics and Business Administration),Electronics (MDPI),journal,"O artigo mostra como técnicas de NLP, ML e DL são integradas para automatizar, apoiar e melhorar atividades de Engenharia de Requisitos, incluindo: detecção de ambiguidades, classificação de requisitos, extração de entidades, geração de modelos (ex.: UML), priorização e avaliação de qualidade. A contribuição da ES está principalmente na aplicação prática de IA em processos formais de desenvolvimento.","Design, Requisitos","O artigo não foca exclusivamente em IA Generativa, mas aponta a emergência recente de LLMs como tendência (2022–2023), inclusive para classificação, análise semântica e compreensão contextual de requisitos.","Redes Neurais Convencionais (CNN), Redes Neurais Recorrentes (RNN), K-means para agrupamento, e Modelos de Linguagem (LMs).","LLM, outro","GPT-x, outros","outros, prompt engineering",7000000000.0,"comercial, open source","Visual Narrator, QuARS, QVScribe, Qualicen Requirements Scout, IBM Engineering Requirements Quality Assistant; além de bibliotecas NLP e pipelines acadêmicos.","NLP clássico (tokenização, POS-tagging, parsing), classificação supervisionada, clustering, deep learning, extração de entidades, análise semântica, dependency extraction.","correção funcional, precisão, qualidade, recall, redução de esforço","Automação de tarefas manuais, melhoria da qualidade dos requisitos, redução de ambiguidades, escalabilidade, suporte a sistemas complexos, apoio a requisitos ágeis (user stories).","Ambiguidade linguística persistente, dependência de dados de treinamento, dificuldade com contexto de domínio, baixa generalização entre projetos, pouca explicabilidade dos modelos.","Uso sistemático de LLMs e GenAI, engenharia de prompts para requisitos, integração com DevOps, avaliação longitudinal em ambientes reais, explicabilidade, métricas padronizadas.","Explorar modelos de linguagem avançados, ampliar estudos empíricos, integrar NLP + IA com práticas ágeis e ferramentas industriais, estudar impacto organizacional.","Integração em workflows existentes, confiança nos resultados automáticos, validação humana, adaptação a múltiplos idiomas, adoção industrial.","O artigo é panorâmico e histórico, cobrindo mais de 30 anos (1991–2023), sendo particularmente forte em análise bibliométrica e evolução temática, mas menos profundo em detalhes técnicos de GenAI.","“This period marks the definitive rise of large language models, showcasing their potential to redefine the boundaries of research and practical applications within the software requirements engineering field.”"
A8,A Systematic Mapping Study of LLM Applications in Mobile Device Research,2025,0.0,Scopus,Not attended to,Not attended to,Not attended to,Not attended to,Not attended to,Not attended to,Not attended to,"Ana Karolina (EXLUÍDO: EC1: Full text not available for free on the Web or on the CAPES Periódicos plataform.)
Filipe Campos (EXLUÍDO: EC1: Full text not available for free on the Web or on the CAPES Periódicos plataform.)","Zhang W., Tung A., Zheng Z., Yang Z., Wang X., Guo H.",China,"School of Computer Science and Technology, Beijing Jiaotong University, Beijing, China","Communications in Computer and Information Science: 7th International Workshop on Knowledge Graph Management and Applications, KGMA 2024, 6th International Workshop on Semi-structured Big Data Management and Applications, SemiBDMA 2024, 1st International Workshop on Mobile Applications and Data Management, MADM 2024, 1st International Workshop on Artificial Intelligence in Education and Educational Data Mining, AIEDM 2024 and 1st International Workshop on Spatio-Temporal Big Data Management, STBDM 2024 held in conjunction with APWeb-WAIM 2024",conference,,,,,,,,,,,,,,,,,,,
A9,A Systematic Review of AI-Enabled Frameworks in Requirements Elicitation,2024,6.0,Scopus,Fully attended to,Fully attended to,Partially attended to,Fully attended to,Fully attended to,Partially attended to,Fully attended to,"Leonardo Lima e Silva
Jeniffer","Vaishali Siddeshwar, Sanaa Alwidian, Masoud Makrehchi",Canadá,Ontario Tech University (University of Ontario Institute of Technology),IEEE Access,journal,"O artigo identifica e classifica 15 tarefas de elicitação de requisitos que são atualmente suportadas por Inteligência Artificial. Estas tarefas incluem a identificação de abstrações, geração de modelos de requisitos, análise de qualidade de requisitos e identificação de requisitos. O estudo também contribui mapeando 12 fontes de dados disponíveis publicamente usadas para treinar estas abordagens.",Requisitos,"O artigo cobre um espectro amplo de técnicas de IA, não se limitando apenas à IA Generativa. As técnicas exploradas incluem Machine Learning (Aprendizado de Máquina), Redes Neurais, Deep Learning (Aprendizado Profundo) e Natural Language Processing (Processamento de Linguagem Natural).","O estudo revisa 122 artigos que utilizam diversas arquiteturas, desde algoritmos clássicos de ML supervisionado até arquiteturas de Deep Learning e NLP. Não há um foco exclusivo em um único modelo de arquitetura (como apenas Transformers), mas sim na aplicação variada dessas técnicas para automatizar a elicitação.",outro,outros,outros,0.0,open source,"O artigo identifica a escassez de ferramentas robustas e aponta principalmente para fontes de dados (datasets) provenientes de repositórios de software, revisões online, blogs e discussões, que servem de base para o treinamento de ferramentas de elicitação.","O artigo realiza uma Revisão Sistemática da Literatura (SLR) cobrindo estudos de 1991 a 2023. Ele avalia a performance dos algoritmos reportados nos estudos primários, identificando limitações na precisão e eficácia das soluções atuais.",outros,"Automatização de tarefas complexas e manuais de elicitação; capacidade de processar grandes volumes de dados (repositórios, feedback de usuários) para identificar requisitos; suporte à identificação de abstrações e geração de modelos a partir de texto em linguagem natural.",Escassez de datasets de acesso aberto para treinamento; limitações de desempenho dos algoritmos atuais em tarefas complexas de elicitação; falta de estudos que cubram um espectro amplo de tarefas de elicitação (a maioria foca em nichos específicos).,"O estudo aponta que as revisões anteriores não cobriam um espectro amplo de tarefas de elicitação nem detalhavam as fontes de dados. Há uma oportunidade clara para padronização de datasets, melhoria na performance dos algoritmos e expansão para tarefas de elicitação menos exploradas.",Desenvolvimento de novos frameworks de IA que abordem as limitações de desempenho identificadas; criação e disponibilização de mais fontes de dados públicas (datasets) para treinar modelos de elicitação; aplicação de técnicas mais avançadas para cobrir as 15 tarefas de elicitação identificadas.,"Integrar soluções de IA de forma eficaz no processo de Engenharia de Requisitos, lidando com a ambiguidade da linguagem natural e a necessidade de alta precisão na definição de requisitos técnicos.","Este artigo é derivado de pesquisas que também exploram o uso de LLMs para geração de modelos de objetivos (Goal Models), indicando que os autores têm expertise na transição de ML clássico para GenAI na área de requisitos.","""This literature review identifies fifteen elicitation tasks currently supported by artificial intelligence and presents twelve publicly available data sources used for training these approaches."" ""The study uncovers common limitations in current studies and suggests potential research directions."""
A10,A systematic literature review on logging smell detection,2026,4.5,Scopus,Not attended to,Fully attended to,Not attended to,Partially attended to,Fully attended to,Fully attended to,Fully attended to,"Filipe Campos Matunaga Batista;
Ana Karolina",Nora Madi e Manal Binkhonain,Arábia Saudita,"Department of Software Engineering, College of Computer and Information Sciences, King Saud University, P.O. Box 51178, Riyadh 11543, Saudi Arabia",Information and Software Technology,journal,"Não se aplica.
;
O estudo é uma revisão sistema de literatura que se utiliza da técnica do snowbouling para encontrar artigos relevantes que tratem sobre a detecção de problemas no registro de logs e são abordados trabalhos que tratam o uso da IA/ML para auxiliar nessa detecção.","Manutenção, Operações/DevOps","Random Forest, Naïve Bayes, Logistic Regression, Decision Trees, Ensemble methods, clustering methods, Bidirectional Long Short-Term Memory, Natural language processing. (só foram citados, mas não explorados)
; 
Stemming, stopword removal, Term Frequency","Log Sculptor, GPT 4, QuLog, LogUpdater",LLM,"GPT-x, outros",outros,,outro,Não se aplica.,"Não foi mostrado.
;
Os autores discorrem que foram encontradas métricas quantitativas de desempenho em 17 estudos como: recall, F1-score, accuracy e Area Under the ROC Curve (AUC), não são especificados em quais trabalhos apenas ""especially those involving machine or deep learning models""","precisão, recall","Machine Learning/Deep Learning: Integra diversos recursos (sintáticos, semânticos, históricos) – Detecta questões sutis não percebidas por ferramentas rule-based – Adaptável a diversas arquiteturas e tarefas – Pode gerar dados sintéticos de treinamento.
LLMs: –Pode detectar uma ampla gama de logging errors –Os prompts podem ser enriquecidos com conhecimento específico de defeitos ou específico do projeto e logging guidelines –Pode raciocinar sobre linguagem natural em log statements –Pode ser rapidamente adaptado a novos projetos ou tipos de defeitos sem necessidade de re-treinamento.","Machine Learning/Deep Learning: –Requer grandes conjuntos de dados de alta qualidade –Raciocínio limitado –Alguns modelos não generalizam entre projetos –Propensos a vieses de rótulos manuais.
LLMs: –Executar em grandes bases de código pode ser lento e computacionalmente caro –Previsões corretas podem vir acompanhadas de explicações incompletas ou incorretas –Propenso a classificar incorretamente como defeituosas declarações de log corretas sem filtragem ou verificação adicional –Frequentemente ausentam de consciência estrutural do código, limitando a interpretação do fluxo de controle/dados .",Desenvolvimento de abordagens automatizadas avançadas para detectar registro indevido e a necessidade de declarações de registro de qualidade excepcional para benchmarking.,"LLMs mostram potencial para aprimorar a interpretabilidade de logs. Trabalhos futuros poderiam explorar mais a integração deles em ferramentas de log para permitir uma análise mais aprofundada. Além disso, como desenvolver uma única solução que abranja uma ampla gama de defeitos continua sendo um desafio em aberto, essa limitação pode ser mitigada aproveitando as capacidades avançadas dos LLMs.
;
Além disso, como é evidenciada uma escassez de benchmarks, para trabalhos futuros os autores citam a necessidade de se criar benchmarks acordados pela comunidade.","1. Usando o GPT 4, o Log Sculptor inicialmente detectou apenas 10,6% das instruções de log, mas uma etapa de pré-processamento aumentou a taxa de detecção para 90,6%. Isso destaca a importância do pré-processamento, mesmo ao utilizar técnicas avançadas como LLMs.
2. QuLog destaca que, mesmo com métodos de deep learning, podem ocorrer classificações incorretas nos níveis de log, ressaltando o desafio contínuo de alcançar alta precisão sem introduzir falsos positivos ou negativos em excesso","1. De 2012 a 2021, a análise estática e o aprendizado de máquina tradicional eram dominantes. A partir de 2022, houve um aumento gradual na adoção de técnicas de deep learning. Em 2024 LLMs são introduzidas, sinalizando o mais recente avanço na detecção de logging smells.
2. Para uma detecção de múltiplos logging smells, estudos recentes mostraram que LLMs podem agir como soluções unificadas.
;
3.O trabalho só deixa claro que há o uso de IA ou ML na sessão onde são apresentados os resultados que respondam a Questão de pesquisa 2 que se trata das técnicas utilizadas para identificar problemas de registro de logs, até então fiquei me questionando se talvez o trabalho não deveria ser excluído pois a princípio não fica clara essa relação e o foco do estudo não é encontrar especificamente trabalhos que usem IA para detectar esses problemas.","""Recently, LLMs are employed to enhance the analysis and generation of log statements through their advanced understanding of natural language and code. For example, in S01, several LLMs (i.e., GPT 4o [34], Llama3.3 [35], DeepSeek-R1 [36], and Qwen2.5-72B [37]) are leveraged to detect and reason about logging code defects through a benchmark framework called Defects4Log.""
""They evaluate various prompting strategies (e.g., Chain of Thought (CoT) [38]) and contextual inputs (e.g., control flow) to test LLMs’ ability to detect and explain these defects."""
